ref_ID,Category,Product/System,Production/Process Method,Brief Description
87,Chemicals,Sodium Hydroxide,Chlor-Alkali Process,Co-product of chlorine production
88,Chemicals,Ammonia,Green Ammonia (Electrolysis-Based),Using renewable electricity to produce hydrogen for ammonia synthesis
89,Chemicals,Sodium Hydroxide,Lime-Soda Process,Reaction of soda ash with lime
90,Chemicals,Sodium Hydroxide,Membrane Cell Process,Modern electrolytic process with ion-exchange membranes
91,Chemicals,Polyethylene,High-Pressure Process,Free radical polymerization at high pressure
92,Chemicals,Polyethylene,Ziegler-Natta Process,Catalytic polymerization using transition metal catalysts
93,Chemicals,Polyethylene,Metallocene Process,Polymerization using metallocene catalysts for more uniform polymers
94,Chemicals,Polypropylene,Ziegler-Natta Process,Catalytic polymerization of propylene
95,Chemicals,Polypropylene,Metallocene Process,Using metallocene catalysts for stereospecific polymerization
96,Chemicals,Polypropylene,Gas-Phase Process,Polymerization in gas phase reactors
97,Chemicals,Urea,Synthesis from Ammonia and CO₂,Direct synthesis from ammonia and carbon dioxide
98,Chemicals,Urea,Hydrolysis of Cyanamide,Chemical conversion of cyanamide
99,Chemicals,Ammonia,Natural Gas Partial Oxidation,"Partial oxidation of natural gas to produce syngas, which is used for ammonia synthesis"
100,Chemicals,Urea,IDR (Isobaric Double Recycle) Process,Modern process with improved energy efficiency
101,Chemicals,Formaldehyde,Direct Oxidation of Methane,Partial oxidation of methane
102,Chemicals,Acetic Acid,Fermentation,Biological production using bacteria
103,Chemicals,Vinyl Chloride,Ethylene Dichloride (EDC) Route,Chlorination of ethylene followed by dehydrochlorination
104,Chemicals,Vinyl Chloride,Acetylene Hydrochlorination,Direct addition of HCl to acetylene
105,Chemicals,Vinyl Chloride,Oxychlorination Process,Reaction of ethylene with HCl and oxygen
106,Chemicals,Sulfuric Acid,Contact Process,"Oxidation of sulfur dioxide to sulfur trioxide, followed by absorption in water"
107,Chemicals,Styrene,Styrene Monomer Propylene Oxide (SMPO),Co-production with propylene oxide
108,Chemicals,Styrene,Pyrolysis Gasoline Extraction,Recovery from pyrolysis gasoline
109,Chemicals,Benzene,Toluene Hydrodealkylation,Conversion of toluene to benzene
110,Chemicals,Titanium Dioxide,Sulfate Process,Digestion of titanium minerals with sulfuric acid
111,Chemicals,Titanium Dioxide,Chloride Process,Chlorination of titanium minerals followed by oxidation
112,Chemicals,Phosphoric Acid,Wet Process,Reaction of phosphate rock with sulfuric acid
113,Chemicals,Phosphoric Acid,Thermal Process,High-temperature reduction of phosphate rock
114,Chemicals,Sulfuric Acid,Wet Sulfuric Acid Process,Recovery from metal smelting operations
115,Chemicals,Phosphoric Acid,Hemihydrate Process,Modified wet process with improved efficiency
116,Chemicals,Sodium Carbonate,Solvay Process,Reaction of sodium chloride with ammonia and CO₂
117,Chemicals,Sodium Carbonate,Trona Processing,Mining and processing of natural trona
118,Chemicals,Sodium Carbonate,Hou Process,Modified Solvay process used in China
119,Chemicals,Potassium Hydroxide,Electrolysis of KCl,Similar to chlor-alkali process but with KCl
120,Chemicals,Potassium Hydroxide,Reaction with Sodium Hydroxide,Double decomposition with sodium hydroxide
121,Chemicals,Potassium Hydroxide,Barium Hydroxide Method,Reaction with barium hydroxide and potassium sulfate
122,Chemicals,Nitric Acid,Ostwald Process,Oxidation of ammonia
123,Chemicals,Nitric Acid,Arc Process,Direct oxidation of nitrogen
124,Chemicals,Nitric Acid,Hybrid Pressure Process,Modified Ostwald process at medium pressure
125,Chemicals,Sulfuric Acid,Lead Chamber Process,Historical method using lead-lined chambers
126,Chemicals,Hydrochloric Acid,Direct Synthesis,Direct combination of hydrogen and chlorine
127,Chemicals,Hydrochloric Acid,By-Product,From chlorination processes
128,Chemicals,Hydrochloric Acid,Salt Decomposition,Reaction of salt with sulfuric acid
129,Chemicals,Ethylene,Steam Cracking,Thermal cracking of hydrocarbons with steam
130,Chemicals,Ethylene,Catalytic Dehydration,Dehydration of ethanol over catalysts
131,Chemicals,Ethylene,Oxidative Coupling of Methane,Direct conversion of methane to ethylene
132,Construction,Portland Cement,Dry Process Rotary Kiln,"Finely ground raw meal (limestone+clay) is preheated, then fed to a dry rotary kiln for clinker formation."
133,Construction,Clinker,Dry Kiln Pyroprocessing,Limestone + clay are calcined at high temperature to form clinker nodules (precursor to cement).
134,Construction,Clinker,Wet Kiln Pyroprocessing,"Older method using slurry feed, higher energy consumption."
135,Construction,Concrete,Ready-mix Batching,"Cement, aggregates, and water are batched at a plant and transported to site."
136,Construction,Concrete,Precast Production,"Concrete is cast and cured in molds at a factory, then transported as finished elements."
137,Construction,Lime,Shaft Kiln (Limestone Calcination),Limestone is calcined in vertical shaft kilns to produce quicklime.
138,Construction,Lime,Rotary Kiln (Limestone Calcination),A rotating kiln for continuous calcination of limestone.
139,Construction,Gypsum,Natural Gypsum Mining + Milling,"Gypsum rock is quarried, crushed, and ground into a fine powder."
140,Construction,Gypsum,Flue-Gas Desulfurization (FGD) Byproduct,"Power plant scrubbers produce synthetic gypsum, which is milled into usable form."
141,Energy,Solar Power,Photovoltaic (PV) Plants,Direct conversion of sunlight to electricity using semiconductor materials
142,Energy,Solar Power,Concentrated Solar Power (CSP),Using mirrors to concentrate sunlight to drive thermal power plants
143,Energy,Solar Power,Floating Solar,PV systems mounted on water bodies
144,Energy,Wind Power,Onshore Wind Farms,Land-based wind turbine installations
145,Energy,Wind Power,Offshore Wind Farms,Sea-based wind turbine installations (fixed or floating)
146,Energy,Wind Power,Small-Scale/Distributed Wind,Smaller turbines for local generation
147,Energy,Hydropower,Run-of-River,Generating electricity from flowing water without large reservoirs
148,Energy,Hydropower,Reservoir/Dam Systems,Large water storage with controlled release
149,Energy,Hydropower,Pumped Storage,Energy storage through water elevation differences
150,Energy,Nuclear Power,Light Water Reactors (PWR/BWR),Using enriched uranium with water cooling/moderation
151,Energy,Nuclear Power,Small Modular Reactors (SMR),Factory-built reactors under 300 MWe
152,Energy,Nuclear Power,Advanced Reactor Designs,"Gen IV designs (molten salt, fast neutron, etc.)"
153,Energy,Geothermal,Conventional Hydrothermal,Using naturally occurring hot water/steam
154,Energy,Geothermal,Enhanced Geothermal Systems (EGS),Creating artificial reservoirs in hot dry rock
155,Energy,Geothermal,Direct Use Systems,Using geothermal heat without electricity generation
156,Energy,Biomass Power,Direct Combustion,Burning biomass for heat and power
157,Energy,Biomass Power,Gasification,Converting biomass to syngas for power generation
158,Energy,Biomass Power,Anaerobic Digestion,Producing biogas for electricity generation
159,Energy,Natural Gas,Combined Cycle Gas Turbine,High-efficiency gas + steam turbine system
160,Energy,Natural Gas,Simple Cycle Gas Turbine,Quick-start peaker plants
161,Energy,Natural Gas,Reciprocating Engines,Internal combustion engines for distributed generation
162,Energy,Coal Power,Pulverized Coal,Traditional coal combustion technology
163,Energy,Coal Power,Fluidized Bed Combustion,More efficient combustion with lower emissions
164,Energy,Coal Power,Integrated Gasification Combined Cycle,Converting coal to syngas before combustion
165,Fertilizer,Urea,Ammonia + CO₂ Synthesis,"Ammonia and carbon dioxide react to form ammonium carbamate, which dehydrates to urea."
166,Fertilizer,Urea,Byproduct Route (from Ammonium Carbamate Processes),"Certain ammonia-based processes yield urea as a byproduct, though less common."
167,Fertilizer,Diammonium Phosphate (DAP),Reacting Phosphoric Acid with Ammonia,"Neutralization of phosphoric acid with ammonia under controlled conditions, followed by granulation."
168,Fertilizer,Diammonium Phosphate (DAP),Partial Ammoniation + Granulation,Another route with different stoichiometry and stepwise addition of ammonia.
169,Fertilizer,Monoammonium Phosphate (MAP),Reacting Phosphoric Acid with Ammonia (Different Ratios),Similar to DAP production but with different acid:ammonia ratio to form MAP.
170,Fertilizer,Ammonium Nitrate,Neutralizing Nitric Acid with Aqueous Ammonia,"Produces ammonium nitrate solution, then prilled or granulated into a solid fertilizer."
171,Fertilizer,Potassium Chloride (MOP),Mining Sylvinite + Flotation/Crystallization,"Sylvinite ore is crushed, floated, and crystallized to recover KCl."
172,Fertilizer,Potassium Chloride (MOP),Solution Mining + Evaporation,"Hot water is injected to dissolve potash, then brine is evaporated to crystallize KCl."
173,Fertilizer,Phosphoric Acid,Wet Process,"Phosphate rock is digested with sulfuric acid, yielding phosphoric acid and gypsum."
174,Fertilizer,Phosphoric Acid,Thermal Process,"Elemental phosphorus is burned, then hydrated to form phosphoric acid (used for high-purity acid)."
175,Fertilizer,Superphosphate (Single),React Phosphate Rock with Sulfuric Acid,Produces single superphosphate (SSP): a mix of gypsum and monocalcium phosphate.
176,Fertilizer,Superphosphate (Triple),React Phosphate Rock with Phosphoric Acid,Produces triple superphosphate (TSP) with higher phosphate content.
177,Fiber,Carbon Fibers,PAN Precursor Stabilization + Carbonization,"Polyacrylonitrile fibers are stabilized, then carbonized at high temperatures."
178,Fiber,Carbon Fibers,Pitch-based Spinning + Carbonization,Specialty route using petroleum or coal tar pitch.
179,Food Product,Refined Sugar,Sugarcane: Milling + Clarification + Crystallization,"Cane is crushed to extract juice, clarified, evaporated, crystallized."
180,Food Product,Refined Sugar,Sugar Beet: Diffusion + Purification + Crystallization,"Beets are sliced, sugars are extracted with hot water, purified, and crystallized."
181,Food Product,"Starch (e.g., Corn)",Wet Milling,"Corn is steeped, ground, and separated into starch, protein, fiber, etc."
182,Food Product,"Starch (e.g., Corn)",Dry Milling,"Milled corn primarily for ethanol; starch can be recovered, though less pure than wet milling routes."
183,Food Product,Vegetable Oils,Mechanical Pressing + Solvent Extraction,"Oilseeds are pressed, then the press cake is solvent-extracted for maximum oil recovery."
184,Food Product,Vegetable Oils,Cold Pressing,Specialty oils pressed without high heat or solvents; lower yield but higher quality.
185,Food Product,Animal Feed,Solvent Extraction (Soybean Meal),Oil is removed from beans; the defatted meal is processed into animal feed.
186,Food Product,Animal Feed,Dry Extrusion/Pressing,Smaller scale or specialty feed processes.
187,Food Product,Flour (Wheat),Roller Milling (Modern),"Wheat is cleaned, conditioned, then milled between roller mills into flour."
188,Food Product,Flour (Wheat),Stone Milling (Traditional),Older or artisan method using large stones to grind grain.
189,Fuels,Gasoline,Petroleum Refining,Distillation and upgrading of crude oil
190,Fuels,Gasoline,Fischer-Tropsch Process,Catalytic conversion of syngas
191,Fuels,Gasoline,Methanol-to-Gasoline (MTG),Conversion of methanol
192,Fuels,Diesel,Petroleum Refining,Distillation and hydrotreatment
193,Fuels,Diesel,Fischer-Tropsch Process,Synthetic production from syngas
194,Fuels,Diesel,Hydroprocessed Esters and Fatty Acids (HEFA),Processing of vegetable oils
195,Fuels,Hydrogen,Steam Methane Reforming (SMR),Reforming natural gas with steam
196,Fuels,Hydrogen,Electrolysis,Splitting water using electricity
197,Fuels,Hydrogen,Coal Gasification,Gasification of coal to produce syngas
198,Fuels,Synthetic Natural Gas,Coal Gasification,Converting coal to methane
199,Fuels,Synthetic Natural Gas,Methanation of Syngas,Catalytic conversion of CO and H₂
200,Fuels,Synthetic Natural Gas,Power-to-Gas,Converting renewable electricity to methane
201,Fuels,Carbon Black,Thermal Process,Thermal decomposition of natural gas
202,Fuels,Ethanol,Synthetic Production,Hydration of ethylene
203,Fuels,Ethanol,Catalytic Conversion of Syngas,Chemical synthesis from CO and H₂
204,Fuels,Biodiesel,Hydroprocessing,Catalytic hydrogenation of oils
205,Fuels,Biodiesel,Supercritical Process,Non-catalytic process using supercritical methanol
206,Glass & Ceramics,Flat Glass,Float Glass Process,"Molten glass is floated on a molten tin bath to produce a flat, uniform thickness sheet."
207,Glass & Ceramics,Flat Glass,Plate Glass Rolling (Older),"Historic method where glass is rolled and polished, less common today."
208,Glass & Ceramics,Container Glass,Continuous Tank Furnace (Soda-Lime Glass),"Raw materials melted in a large furnace; molten glass is shaped into bottles, jars, etc."
209,Glass & Ceramics,Container Glass,Semi-batch Pot Furnace,Smaller-scale or specialty glass production.
210,Glass & Ceramics,Ceramic Tiles,Dry Pressing + Tunnel Kiln Firing,"Clay body is pressed into tiles, dried, then fired in a continuous tunnel kiln."
211,Glass & Ceramics,Ceramic Tiles,Wet Milling + Spray Drying + Roller Kiln,"Modern approach for porcelain/ceramic tiles, with slip preparation and spray-dried granules."
212,Glass & Ceramics,Whiteware,Slip Casting + High-Temperature Kiln,"Porcelain or china is cast from liquid slip in molds, then fired."
213,Glass & Ceramics,Whiteware,Pressing + Glazing + High-Temperature Kiln,"Formed by pressing or jiggering, then glazed and fired."
214,Glass & Ceramics,Refractory Bricks,Pressing/Extrusion + High-Temp Firing,Raw refractory materials are formed and fired at very high temperatures.
215,Glass & Ceramics,Refractory Bricks,Iso-static Pressing (Specialty),Used for high-performance shapes requiring uniform density.
216,Industrial Gas,Hydrogen,Steam Methane Reforming,"Methane is reformed to H₂ + CO, followed by water-gas shift and PSA purification."
217,Industrial Gas,Hydrogen,"Electrolysis of Water (Alkaline, PEM)",Splitting water into hydrogen and oxygen using electricity.
218,Industrial Gases,"O₂, N₂, Ar (Air Gases)",Cryogenic Air Separation,"Air is cooled and distilled into its main components (N₂, O₂, Ar)."
219,Industrial Gases,"O₂, N₂, Ar (Air Gases)",Vacuum Swing Adsorption (VSA/PSA),Adsorptive separation at different pressures; yields lower purity but simpler equipment.
220,Industrial Gases,Helium,Cryogenic Separation from Natural Gas,Natural gas with helium is liquefied/expanded to separate helium.
221,Industrial Gases,Helium,Pressure Swing Adsorption (PSA),Adsorptive process to capture helium from gas streams.
222,Infrastructure,Green Hydrogen,Electrolysis-Based,Production via water electrolysis with renewables
223,Infrastructure,Green Hydrogen,Biomass Gasification,Producing hydrogen from biomass
224,Infrastructure,Green Hydrogen,Methane Pyrolysis,Producing hydrogen with solid carbon co-product
225,Infrastructure,Transmission Lines,HVAC Transmission,Conventional alternating current power lines
226,Infrastructure,Transmission Lines,HVDC Transmission,High-voltage direct current for long distances
227,Infrastructure,Transmission Lines,Superconducting Lines,Low-loss transmission using superconductors
228,Infrastructure,CO₂ Pipeline Networks,Dense Phase Transport,Pipelines for compressed CO₂ transport
229,Infrastructure,CO₂ Pipeline Networks,Ship/Rail/Truck Transport,Non-pipeline CO₂ transport options
230,Infrastructure,Smart Grid Systems,Advanced Metering Infrastructure,Smart meters and data management
231,Infrastructure,Smart Grid Systems,Distribution Automation,Self-healing grid technologies
232,Infrastructure,Smart Grid Systems,Distributed Energy Resource Management,Integrating dispersed generation sources
233,Infrastructure,Microgrids,Campus/Industrial Microgrids,Self-contained power systems for facilities
234,Infrastructure,Microgrids,Community Microgrids,Local power systems for neighborhoods
235,Infrastructure,Microgrids,Remote/Island Microgrids,Self-sufficient systems for isolated areas
236,Infrastructure,Energy Storage Hubs,Battery Storage Facilities,Large-scale electrochemical storage
237,Infrastructure,Energy Storage Hubs,Pumped Hydro,Water-based gravitational storage
238,Infrastructure,Energy Storage Hubs,Compressed Air Energy Storage,Air compression/expansion for energy storage
239,Intermediate,Acetic Acid,Methanol Carbonylation (Monsanto/Cativa),Methanol reacts with CO (carbonylation) in the presence of a catalyst (Rh or Ir) to form acetic acid.
240,Intermediate,Acetic Acid,Acetaldehyde Oxidation,Older process where acetaldehyde is oxidized to acetic acid (less common now).
241,Intermediate,Formaldehyde,Methanol Oxidation (Silver Catalyst),Methanol is partially oxidized over a silver catalyst at moderate temperature.
242,Intermediate,Formaldehyde,Formox Process (Metal Oxide Catalyst),Similar oxidation route using iron/molybdenum oxide catalysts.
243,Manufacturing,Lithium-ion Batteries,Electrode Manufacturing,"Mixing, coating, calendering, and slitting electrode materials"
244,Manufacturing,Lithium-ion Batteries,Cell Assembly,"Winding/stacking, electrolyte filling, formation, and aging"
245,Manufacturing,Lithium-ion Batteries,Pack Assembly,"Module assembly, thermal management, BMS integration"
246,Manufacturing,Solar PV Panels,Silicon Ingot/Wafer Production,"Crystal growth, wafering, and surface treatment"
247,Manufacturing,Solar PV Panels,Cell Manufacturing,"Doping, metallization, and anti-reflective coating"
248,Manufacturing,Solar PV Panels,Module Assembly,"Stringing, lamination, framing, and testing"
249,Manufacturing,Fuel Cells,Membrane Electrode Assembly,"Catalyst deposition, membrane coating, hot pressing"
250,Manufacturing,Fuel Cells,Stack Assembly,"Cell stacking, compression systems, manifold assembly"
251,Manufacturing,Fuel Cells,Balance of Plant Integration,"Power conditioning, thermal management, fuel processing"
252,Manufacturing,Electronics,Wafer Fabrication,"Photolithography, etching, deposition, and ion implantation"
253,Manufacturing,Electronics,Assembly and Packaging,"Die bonding, wire bonding, encapsulation, and testing"
254,Manufacturing,Semiconductors,Front-End Processing,"Lithography, etching, deposition, doping"
255,Manufacturing,Semiconductors,Back-End Processing,"Dicing, bonding, packaging, testing"
256,Manufacturing,Wind Turbines,Blade Manufacturing,"Composite layup, resin infusion, curing, finishing"
257,Manufacturing,Wind Turbines,Nacelle Assembly,"Generator, gearbox, control systems integration"
258,Manufacturing,Wind Turbines,Tower Manufacturing,"Steel plate rolling, welding, coating"
259,Manufacturing,Electrolyzer,Stack Manufacturing,"Electrode fabrication, membrane coating, assembly"
260,Manufacturing,Electrolyzer,System Integration,"Power supply, water processing, gas handling"
261,Metal,Lead,Secondary Lead (Battery Recycling + Smelting),"Used lead–acid batteries are broken down, smelted, and refined to produce recycled lead."
262,Metal,Nickel,Sulfide Ore Smelting + Refining (Flash Smelting),"Nickel sulfide concentrates are smelted, converted, and refined to pure nickel."
263,Metal,Nickel,Laterite Ore (HPAL or Ferronickel),High-pressure acid leaching or ferronickel smelting routes for nickel laterite ores.
264,Metal,Titanium,Kroll Process (TiCl₄ + Mg Reduction),"Titanium tetrachloride is reduced by magnesium to produce sponge titanium, which is melted into ingots."
265,Metal,Titanium,FFC Cambridge Process,Direct electrolytic reduction of titanium oxide in molten salt.
266,Metal,Magnesium,Pidgeon Process,Dolomite is reduced with ferrosilicon in retorts under vacuum at high temperature.
267,Metal,Magnesium,Electrolytic Process (MgCl₂),Molten magnesium chloride is electrolyzed in a cell to produce magnesium metal and chlorine gas.
268,Metal,Gold,Cyanide Leaching (Carbon-in-Pulp/Carbon-in-Leach),"Ore is crushed and leached with a cyanide solution, gold is adsorbed onto activated carbon, then stripped."
269,Metal,Gold,Gravity + Flotation + Smelting,"Higher-grade ores may be concentrated by gravity/flotation methods, then smelted directly."
270,Metal,Silver,Cyanide Leaching,"Similar process to gold cyanidation, though silver complexes differ slightly."
